EnterQueueTimestamp_year,EnterQueueTimestamp_month,EnterQueueTimestamp_day,EnterQueueTimestamp_day_of_week,EnterQueueTimestamp_hour,EnterQueueTimestamp_minute,party_size,queue_62868,queue_69991,queue_66421,queue_75252,queue_5000000899,time_since_last_ticket,pushed_back_by_consumer,pushed_back_by_host,pushed_back_by_system,entering_host,result_arrived,result_no_show,result_removed,result_left,result_removed_by_system,time_to_redeem,time_to_confirm,pulled_status_updates,summoning_host
2018,1,1,1,10,36,1,0,1,0,0,0,3,0,0,0,-1,1,0,0,0,0,39,-1,0,3
2018,1,1,1,10,36,1,0,0,0,1,0,185,0,0,0,-1,1,0,0,0,0,92,-1,0,10
2018,1,1,1,10,36,1,0,1,0,0,0,3,0,0,0,-1,0,1,0,0,0,-1,-1,0,2
2018,1,1,1,10,36,1,0,1,0,0,0,14,0,0,0,-1,1,0,0,0,0,28,-1,0,-1
2018,1,1,1,10,37,1,0,1,0,0,0,10,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,10,39,1,0,1,0,0,0,19,0,0,0,-1,0,1,0,0,0,-1,-1,5,2
2018,1,1,1,10,40,1,0,1,0,0,0,5,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,10,41,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,8,-1,0,7
2018,1,1,1,10,42,1,0,1,0,0,0,3,0,0,0,-1,1,0,0,0,0,52,-1,0,4
2018,1,1,1,10,42,1,0,1,0,0,0,25,0,0,0,-1,0,1,0,0,0,-1,-1,0,2
2018,1,1,1,10,43,1,0,1,0,0,0,19,0,0,0,-1,1,0,0,0,0,28,-1,5,2
2018,1,1,1,10,44,1,0,1,0,0,0,111,10,0,0,-1,1,0,0,0,0,32,-1,2,3
2018,1,1,1,10,45,1,0,1,0,0,0,15,0,0,0,-1,1,0,0,0,0,18,-1,12,-1
2018,1,1,1,10,45,1,0,1,0,0,0,141,0,0,0,-1,0,1,0,0,0,-1,-1,0,5
2018,1,1,1,10,45,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,42,-1,0,11
2018,1,1,1,10,49,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,8,-1,0,7
2018,1,1,1,10,50,1,0,1,0,0,0,4,0,0,0,-1,1,0,0,0,0,4,-1,0,17
2018,1,1,1,10,50,1,0,1,0,0,0,40,0,0,0,-1,1,0,0,0,0,42,-1,0,4
2018,1,1,1,10,51,1,0,1,0,0,0,128,0,0,0,-1,1,0,0,0,0,24,-1,9,4
2018,1,1,1,10,51,1,0,1,0,0,0,46,0,0,0,-1,1,0,0,0,0,38,-1,0,4
2018,1,1,1,10,52,1,0,1,0,0,0,23,0,0,0,-1,1,0,0,0,0,24,-1,0,12
2018,1,1,1,10,53,1,0,1,0,0,0,53,0,0,0,-1,1,0,0,0,0,136,-1,1,5
2018,1,1,1,10,54,1,0,1,0,0,0,108,0,0,0,-1,1,0,0,0,0,18,-1,0,3
2018,1,1,1,10,54,1,0,1,0,0,0,92,0,0,0,-1,1,0,0,0,0,72,-1,3,12
2018,1,1,1,10,56,1,0,1,0,0,0,204,0,0,0,-1,0,1,0,0,0,-1,-1,0,5
2018,1,1,1,10,56,1,0,1,0,0,0,100,10,0,0,-1,1,0,0,0,0,13,-1,9,5
2018,1,1,1,10,56,1,0,1,0,0,0,11,10,0,0,-1,1,0,0,0,0,40,-1,0,5
2018,1,1,1,10,56,1,0,0,0,1,0,-1,0,0,0,-1,1,0,0,0,0,63,-1,0,18
2018,1,1,1,10,57,1,0,1,0,0,0,67,0,0,0,-1,0,1,0,0,0,-1,-1,0,5
2018,1,1,1,10,57,1,0,1,0,0,0,82,0,0,0,-1,1,0,0,0,0,3,-1,0,3
